Region,SubRegion,Country/Territory,Type of offence,Year,Drugs,Total,Males,Females,Unknown/Other/ Third/Intersex,Adults,Juveniles,Specify year
Americas,South America,Chile,Offences related to drug use and/or drug possession,2017,Other substances not under int. control,3,2,1,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2017,Other substances not under int. control,75,52,23,,,,
Americas,South America,Chile,Offences related to drug trafficking,2017,All illicit drugs,21068,15350,5718,,20157,911,
Americas,South America,Chile,Offences related to drug trafficking,2017,Cannabis-type,11345,8454,2891,,,,
Americas,South America,Chile,Offences related to drug trafficking,2017,Cocaine-type,10440,7182,3258,,,,
Americas,South America,Chile,Offences related to drug trafficking,2017,ATS,100,69,31,,,,
Americas,South America,Chile,Offences related to drug trafficking,2017,Hallucinogens,43,33,10,,,,
Americas,South America,Chile,Offences related to drug trafficking,2017,Other substances not under int. control,120,86,34,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2017,Opioids,0,0,0,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2018,All illicit drugs,23066,206360,2706,,21461,1605,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2018,Cannabis-type,16300,14203,2097,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2018,Cocaine-type,6578,5817,556,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2018,ATS,5,4,1,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2018,Hallucinogens,3,3,0,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2018,Ketamine and phencyclidine-type substances,1,1,,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2018,Other Plant-based substances,2,2,,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2018,Non-specified,51,34,17,,,,
Americas,South America,Chile,Offences related to drug trafficking,2018,All illicit drugs,20326,15035,5291,,19576,735,
Americas,South America,Chile,Offences related to drug trafficking,2018,Cannabis-type,9370,7341,2029,,,,
Americas,South America,Chile,Offences related to drug trafficking,2018,Cocaine-type,8720,6186,2534,,,,
Americas,South America,Chile,Offences related to drug trafficking,2018,ATS,74,54,20,,,,
Americas,South America,Chile,Offences related to drug trafficking,2018,Hallucinogens,14,10,4,,,,
Americas,South America,Chile,Offences related to drug trafficking,2018,Other Plant-based substances,74,54,20,,,,
Americas,South America,Chile,Offences related to drug trafficking,2018,Non-specified,72,49,23,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2019,All illicit drugs,19795,17396,2397,,18601,1194,
Americas,South America,Chile,Offences related to drug trafficking,2019,All illicit drugs,17861,13411,4449,,17056,797,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2016,Opioids,0,0,0,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2016,All illicit drugs,24394,21505,2889,,22398,1996,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2016,Cannabis-type,19169,16797,2372,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2016,Cocaine-type,5154,4654,500,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2016,ATS,2,1,1,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2016,Hallucinogens,11,11,,,,,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2016,Other substances not under int. control,58,42,16,,,,
Americas,South America,Chile,Offences related to drug trafficking,2016,All illicit drugs,12717,9527,3190,,12017,700,
Americas,South America,Chile,Offences related to drug trafficking,2016,Cannabis-type,7398,5641,1757,,,,
Americas,South America,Chile,Offences related to drug trafficking,2016,Opioids,1,1,,,,,
Americas,South America,Chile,Offences related to drug trafficking,2016,Cocaine-type,5220,3821,1399,,,,
Americas,South America,Chile,Offences related to drug trafficking,2016,ATS,4,4,,,,,
Americas,South America,Chile,Offences related to drug trafficking,2016,Hallucinogens,9,8,1,,,,
Americas,South America,Chile,Offences related to drug trafficking,2016,Other substances not under int. control,85,52,33,,,,
Americas,South America,Colombia,Offences related to drug trafficking,2019,All illicit drugs,62268,55862,6406,,58535,3733,
Americas,South America,Colombia,Offences related to drug trafficking,2017,All illicit drugs,64448,57680,6768,,64448,,
Americas,South America,Colombia,Offences related to drug trafficking,2017,Cannabis-type,22418,,,,,,
Americas,South America,Colombia,Offences related to drug trafficking,2017,Opioids,425,,,,,,
Americas,South America,Colombia,Offences related to drug trafficking,2017,Cocaine-type,8025,,,,,,
Americas,South America,Colombia,Offences related to drug trafficking,2017,Cocaine base,30982,,,,,,
Americas,South America,Colombia,Offences related to drug trafficking,2018,All illicit drugs,65443,58470,6973,,60975,4468,
Americas,South America,Colombia,Offences related to drug trafficking,2016,All illicit drugs,63771,57110,6661,,,,
Americas,Central America,Costa Rica,Offences related to drug trafficking,2016,All illicit drugs,947,809,138,,947,,
Americas,Central America,Costa Rica,Offences related to drug trafficking,2018,All illicit drugs,975,841,134,,973,2,
Americas,Central America,Costa Rica,Offences related to drug trafficking,2017,All illicit drugs,1022,852,170,,1022,,
Americas,Central America,Costa Rica,Offences related to drug trafficking,2019,All illicit drugs,1038,882,156,,1027,11,
Americas,Caribbean,Dominican Republic,Offences related to drug trafficking,2016,All illicit drugs,23023,22188,493,,22681,342,
Americas,Caribbean,Dominican Republic,Offences related to drug use and/or drug possession,2017,All illicit drugs,13783,13534,249,,13582,201,
Americas,Caribbean,Dominican Republic,Offences related to drug trafficking,2017,All illicit drugs,7945,7801,144,,7829,116,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2017,All illicit drugs,11087,8955,2132,,10184,903,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2017,Cannabis-type,3971,3373,698,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2017,Opioids,1854,1582,272,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2017,Cocaine-type,5218,4068,1150,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2017,ATS,44,32,12,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2017,All illicit drugs,642,569,73,,640,2,
Americas,South America,Ecuador,Offences related to drug trafficking,2017,Cannabis-type,94,76,18,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2017,Opioids,11,10,1,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2017,Cocaine-type,535,481,54,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2017,ATS,2,2,,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2018,All illicit drugs,11810,9885,1925,,10989,821,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2018,Cannabis-type,3004,2593,411,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2018,Opioids,2335,2047,288,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2018,Cocaine-type,6438,5222,1216,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2018,ATS,33,23,10,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2018,All illicit drugs,680,604,76,,677,3,
Americas,South America,Ecuador,Offences related to drug trafficking,2018,Cannabis-type,58,47,11,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2018,Opioids,13,10,3,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2018,Cocaine-type,609,547,62,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2016,All illicit drugs,12409,10425,1984,,11327,1082,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2016,Cannabis-type,4574,3883,691,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2016,Opioids,2021,1797,224,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2016,Cocaine-type,5797,4729,1068,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2016,ATS,17,16,1,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2016,All illicit drugs,633,572,61,,631,2,
Americas,South America,Ecuador,Offences related to drug trafficking,2016,Cannabis-type,23,19,4,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2016,Opioids,15,13,2,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2016,Cocaine-type,592,538,54,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2016,ATS,3,2,1,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2019,All illicit drugs,10616,8819,1797,,10033,583,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2019,Cannabis-type,3107,2651,456,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2019,Opioids,2216,1928,288,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2019,Cocaine-type,5269,4221,1048,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2019,ATS,24,19,5,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2019,All illicit drugs,639,582,57,,636,3,
Americas,South America,Ecuador,Offences related to drug trafficking,2019,Cannabis-type,50,46,4,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2019,Opioids,33,27,6,,,,
Americas,South America,Ecuador,Offences related to drug trafficking,2019,Cocaine-type,556,509,47,,,,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2018,All illicit drugs,1957,1892,65,,1662,295,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2018,Cannabis-type,1766,1737,53,,,,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2018,Cocaine-type,167,155,12,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2018,All illicit drugs,1532,1398,134,,1409,123,
Americas,Central America,El Salvador,Offences related to drug trafficking,2018,Cannabis-type,1370,1256,114,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2018,Opioids,1,1,,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2018,Cocaine-type,158,138,20,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2018,ATS,3,3,,,,,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2017,All illicit drugs,2082,2025,57,,2036,46,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2017,Cannabis-type,1985,1932,53,,,,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2017,Cocaine-type,97,93,4,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2017,All illicit drugs,1720,1589,131,,1700,20,
Americas,Central America,El Salvador,Offences related to drug trafficking,2017,Cannabis-type,1595,1475,120,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2017,Opioids,2,0,2,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2017,Cocaine-type,123,114,9,,,,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2019,All illicit drugs,2094,1991,103,,1758,336,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2019,Cannabis-type,1879,1766,89,,,,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2019,Cocaine-type,96,91,5,,,,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2019,Methamphetamine,5,5,,,,,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2019,Crack,114,105,9,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2019,All illicit drugs,1396,1264,132,,1311,85,
Americas,Central America,El Salvador,Offences related to drug trafficking,2019,Cannabis-type,1269,1159,110,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2019,Cocaine-type,74,60,14,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2019,Methamphetamine,8,8,,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2019,Crack,43,35,8,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2019,Opioids,2,2,,,,,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2016,All illicit drugs,2646,2526,120,,2054,592,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2016,Cannabis-type,2559,2446,113,,,,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2016,Cocaine-type,83,77,6,,,,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2016,ATS,4,3,1,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2016,All illicit drugs,2263,2045,218,,1938,325,
Americas,Central America,El Salvador,Offences related to drug trafficking,2016,Cannabis-type,2041,1858,183,,,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2016,Cocaine-type,222,187,35,,,,
Americas,Central America,Guatemala,Offences related to drug use and/or drug possession,2016,All illicit drugs,410,379,31,,,,
Americas,Central America,Guatemala,Offences related to drug trafficking,2016,All illicit drugs,206,184,22,,,,
Americas,Central America,Guatemala,Offences related to drug use and/or drug possession,2017,All illicit drugs,3205,2836,369,,3080,125,
Americas,Central America,Guatemala,Offences related to drug use and/or drug possession,2017,Cannabis-type,1995,1570,425,,,,
Americas,Central America,Guatemala,Offences related to drug use and/or drug possession,2017,Cocaine-type,1124,960,164,,,,
Americas,Central America,Guatemala,Offences related to drug trafficking,2017,All illicit drugs,55,48,7,,55,0,
Americas,Central America,Guatemala,Offences related to drug trafficking,2017,Cannabis-type,15,10,5,,,,
Americas,Central America,Guatemala,Offences related to drug trafficking,2017,Cocaine-type,40,30,10,,,,
Americas,Central America,Guatemala,Offences related to drug use and/or drug possession,2019,All illicit drugs,1797,1584,213,,1702,95,
Americas,Central America,Guatemala,Offences related to drug use and/or drug possession,2019,Cannabis-type,1286,1152,134,,,,
Americas,Central America,Guatemala,Offences related to drug use and/or drug possession,2019,Cocaine-type,315,272,43,,,,
Americas,Central America,Guatemala,Offences related to drug use and/or drug possession,2019,Crack,196,160,36,,,,
Americas,Central America,Guatemala,Offences related to drug trafficking,2019,All illicit drugs,190,166,24,,189,1,
Americas,Central America,Guatemala,Offences related to drug trafficking,2019,Cannabis-type,126,107,19,,,,
Americas,Central America,Guatemala,Offences related to drug trafficking,2019,Cocaine-type,64,59,5,,,,
Americas,Central America,Guatemala,Offences related to drug use and/or drug possession,2018,All illicit drugs,3021,2703,318,,2896,125,
Americas,Central America,Guatemala,Offences related to drug use and/or drug possession,2018,Cannabis-type,1886,1302,584,,,,
Americas,Central America,Guatemala,Offences related to drug use and/or drug possession,2018,Cocaine-type,1135,918,217,,,,
Americas,Central America,Guatemala,Offences related to drug trafficking,2018,All illicit drugs,60,50,10,,60,0,
Americas,Central America,Guatemala,Offences related to drug trafficking,2018,Cannabis-type,35,31,4,,,,
Americas,Central America,Guatemala,Offences related to drug trafficking,2018,Cocaine-type,25,25,0,,,,
Americas,Central America,Honduras,Offences related to drug use and/or drug possession,2016,All illicit drugs,6235,,,,6235,,
Americas,Central America,Honduras,Offences related to drug trafficking,2016,All illicit drugs,698,623,75,,698,,
Americas,Central America,Honduras,Offences related to drug use and/or drug possession,2018,All illicit drugs,84,82,2,,78,6,
Americas,Central America,Honduras,Offences related to drug trafficking,2018,All illicit drugs,732,664,68,,685,47,
Americas,Central America,Honduras,Offences related to drug use and/or drug possession,2017,All illicit drugs,174,162,12,,155,19,
Americas,Central America,Honduras,Offences related to drug trafficking,2017,All illicit drugs,744,663,81,,687,57,
Asia,Central Asia and Transcaucasia,Armenia,Offences related to drug use and/or drug possession,2020,All illicit drugs,490,469,21,,486,4,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2020,All illicit drugs,70,58,12,,70,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2020,All illicit drugs,822,667,155,,809,13,
Asia,East and South-East Asia,Indonesia,Offences related to drug trafficking,2020,All illicit drugs,40928,,,,,,
Asia,East and South-East Asia,Indonesia,Offences related to drug use and/or drug possession,2020,All illicit drugs,17836,,,,,,
Asia,Near and Middle East/ South-West Asia,Iraq,Offences related to drug trafficking,2020,All illicit drugs,2978,2978,0,,2948,30,
Asia,Near and Middle East/ South-West Asia,Iraq,Offences related to drug use and/or drug possession,2020,All illicit drugs,4069,3979,90,,3869,200,
Asia,Near and Middle East/ South-West Asia,Iraq,Other drug-related offences,2020,All illicit drugs,507,499,8,,489,18,
Asia,Near and Middle East/ South-West Asia,Qatar,Offences related to drug trafficking,2020,All illicit drugs,394,389,5,,394,,
Asia,Near and Middle East/ South-West Asia,Qatar,Offences related to drug use and/or drug possession,2020,All illicit drugs,3492,3316,176,,3492,,
Asia,East and South-East Asia,Republic of Korea,Offences related to drug use and/or drug possession,2020,All illicit drugs,12209,8933,3263,,11955,241,
Asia,Central Asia and Transcaucasia,Tajikistan,Offences related to drug trafficking,2020,All illicit drugs,619,600,,,619,1,
Asia,Central Asia and Transcaucasia,Tajikistan,Offences related to drug use and/or drug possession,2020,All illicit drugs,91,88,3,,90,,
Asia,Central Asia and Transcaucasia,Tajikistan,Other drug-related offences,2020,All illicit drugs,90,90,,,90,,
Asia,Central Asia and Transcaucasia,Uzbekistan,Offences related to drug trafficking,2020,All illicit drugs,4291,4052,239,,4269,22,
Asia,South Asia,Bhutan,Offences related to drug trafficking,2020,All illicit drugs,260,239,21,,256,4,
Asia,South Asia,Bhutan,Offences related to drug use and/or drug possession,2020,All illicit drugs,3,2,1,,3,,
Asia,South Asia,Bhutan,Other drug-related offences,2020,All illicit drugs,788,734,54,,663,125,
Asia,East and South-East Asia,Malaysia,Offences related to drug trafficking,2020,All illicit drugs,23536,21569,1967,,685,22851,
Asia,East and South-East Asia,Malaysia,Offences related to drug use and/or drug possession,2020,All illicit drugs,56271,53013,3258,,2775,53496,
Asia,East and South-East Asia,Malaysia,Other drug-related offences,2020,All illicit drugs,66238,62470,3768,,2718,63520,
Asia,Near and Middle East/ South-West Asia,Israel,Other drug-related offences,2020,All illicit drugs,1821,1649,172,,1779,42,
Asia,Near and Middle East/ South-West Asia,Oman,Offences related to drug trafficking,2020,All illicit drugs,292,287,5,,,,
Asia,Near and Middle East/ South-West Asia,Oman,Offences related to drug use and/or drug possession,2020,All illicit drugs,1343,1318,25,,,,
Asia,Near and Middle East/ South-West Asia,Oman,Other drug-related offences,2020,All illicit drugs,296,293,3,,,,
Asia,South Asia,Sri Lanka,Offences related to drug trafficking,2020,All illicit drugs,9336,9231,105,,,,
Asia,East and South-East Asia,"China, Macao SAR",Offences related to drug trafficking,2020,All illicit drugs,119,86,33,,113,6,
Asia,East and South-East Asia,"China, Macao SAR",Offences related to drug use and/or drug possession,2020,All illicit drugs,33,21,12,,33,,
Asia,East and South-East Asia,"China, Macao SAR",Other drug-related offences,2020,All illicit drugs,2,2,,,2,,
Asia,Near and Middle East/ South-West Asia,Pakistan,Offences related to drug trafficking,2020,All illicit drugs,73295,,,,73295,,
Asia,Central Asia and Transcaucasia,Kazakhstan,Offences related to drug trafficking,2020,All illicit drugs,821,731,90,,815,6,
Asia,Central Asia and Transcaucasia,Kazakhstan,Offences related to drug use and/or drug possession,2020,All illicit drugs,4133,4071,62,,4123,10,
Asia,Central Asia and Transcaucasia,Kazakhstan,Other drug-related offences,2020,All illicit drugs,389,379,10,,389,0,
Asia,East and South-East Asia,Singapore,Offences related to drug use and/or drug possession,2020,All illicit drugs,3056,2527,529,,2898,158,
Asia,Near and Middle East/ South-West Asia,State of Palestine,Offences related to drug trafficking,2020,All illicit drugs,217,215,2,,174,5,
Asia,Near and Middle East/ South-West Asia,State of Palestine,Offences related to drug use and/or drug possession,2020,All illicit drugs,1933,1913,20,,1558,48,
Asia,Near and Middle East/ South-West Asia,State of Palestine,Other drug-related offences,2020,All illicit drugs,109,108,1,,91,3,
Asia,East and South-East Asia,"China, Hong Kong SAR",Offences related to drug trafficking,2020,All illicit drugs,1824,1505,319,,1506,318,
Asia,East and South-East Asia,"China, Hong Kong SAR",Offences related to drug use and/or drug possession,2020,All illicit drugs,1763,1562,201,,1609,154,
Asia,East and South-East Asia,Philippines,Offences related to drug trafficking,2020,All illicit drugs,109,104,5,,109,,
Asia,East and South-East Asia,China,Offences related to drug trafficking,2020,All illicit drugs,92124,78100,14021,3,91398,726,
Asia,Near and Middle East/ South-West Asia,Israel,Offences related to drug trafficking,2020,All illicit drugs,5054,4657,396,1,4521,542,
Asia,Near and Middle East/ South-West Asia,Israel,Offences related to drug use and/or drug possession,2020,All illicit drugs,21833,19907,1925,1,17741,4144,
Asia,Near and Middle East/ South-West Asia,Saudi Arabia,Offences related to drug trafficking,2020,All illicit drugs,17786,17661,125,0,17575,211,
Asia,Near and Middle East/ South-West Asia,Saudi Arabia,Offences related to drug use and/or drug possession,2020,All illicit drugs,57747,57272,475,0,56921,826,
Asia,Near and Middle East/ South-West Asia,Saudi Arabia,Other drug-related offences,2020,All illicit drugs,57,53,4,0,57,0,
Asia,Central Asia and Transcaucasia,Armenia,Offences related to drug use and/or drug possession,2019,All illicit drugs,354,338,16,,347,7,
Asia,Central Asia and Transcaucasia,Armenia,Offences related to drug trafficking,2019,All illicit drugs,133,119,14,,130,3,
Asia,Central Asia and Transcaucasia,Armenia,Offences related to drug use and/or drug possession,2018,All illicit drugs,383,,,,,,
Asia,Central Asia and Transcaucasia,Armenia,Offences related to drug trafficking,2018,All illicit drugs,119,111,8,,117,2,
Asia,Central Asia and Transcaucasia,Armenia,Offences related to drug use and/or drug possession,2016,All illicit drugs,1572,,,,,,
Asia,Central Asia and Transcaucasia,Armenia,Offences related to drug use and/or drug possession,2016,Cannabis-type,1068,,,,,,
Asia,Central Asia and Transcaucasia,Armenia,Offences related to drug use and/or drug possession,2016,Opioids,258,,,,,,
Asia,Central Asia and Transcaucasia,Armenia,Offences related to drug use and/or drug possession,2016,Non-specified,246,,,,,,
Asia,Central Asia and Transcaucasia,Armenia,Offences related to drug trafficking,2016,All illicit drugs,467,453,11,,464,3,
Asia,Central Asia and Transcaucasia,Azerbaijan,Offences related to drug use and/or drug possession,2017,All illicit drugs,2487,2451,36,,1944,4,
Asia,Central Asia and Transcaucasia,Azerbaijan,Offences related to drug trafficking,2017,All illicit drugs,2487,2451,36,,1944,4,
Asia,South Asia,Bangladesh,Offences related to drug use and/or drug possession,2019,All illicit drugs,9484,,,,,,
Asia,South Asia,Bangladesh,Offences related to drug trafficking,2019,All illicit drugs,162847,,,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2017,All illicit drugs,772,642,130,,736,36,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2017,Cannabis-type,35,27,8,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2017,ATS,717,598,119,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2017,Other substances not under int. control,4,3,1,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2017,Other substances not under int. control,16,14,2,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2017,All illicit drugs,71,54,17,,67,4,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2017,Cannabis-type,7,6,1,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2017,ATS,51,37,14,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2017,Other substances not under int. control,1,1,0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2017,Other substances not under int. control,12,10,2,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2016,Ketamine and phencyclidine-type substances,,,,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2016,Ecstasy-type substances,,,,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2016,All illicit drugs,641,559,82,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2016,Cannabis-type,43,,,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2016,ATS,581,,,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,All illicit drugs,698,579,119,,663,35,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,Cannabis-type,26,19,7,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,ATS,621,518,103,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,Hallucinogens,3,1,2,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,Benzodiazepines,5,4,1,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,Multiple Drugs,18,16,2,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,Synthetic cathinones,1,1,0,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2019,Cannabis-type,11,9,2,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2019,ATS,27,23,4,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2019,All illicit drugs,34,29,5,,34,0,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2019,Benzodiazepines,13,11,2,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2019,Multiple Drugs,15,12,3,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,All illicit drugs,674,559,115,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,Cannabis-type,24,17,7,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,ATS,642,535,107,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,Solvents and inhalants,3,3,,,,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2019,Other substances not under int. control,5,4,1,,,,
Asia,East and South-East Asia,Cambodia,Offences related to drug trafficking,2019,All illicit drugs,20490,,,,,,
Asia,East and South-East Asia,China,Offences related to drug use and/or drug possession,2016,All illicit drugs,14665,12299,2366,,14616,49,
Asia,East and South-East Asia,China,Offences related to drug use and/or drug possession,2016,Cannabis-type,129,100,29,,,,
Asia,East and South-East Asia,China,Offences related to drug use and/or drug possession,2016,Opioids,2151,1763,388,,,,
Asia,East and South-East Asia,China,Offences related to drug use and/or drug possession,2016,Cocaine-type,7,7,0,,,,
Asia,East and South-East Asia,China,Offences related to drug use and/or drug possession,2016,ATS,11366,9571,1795,,,,
Asia,East and South-East Asia,China,Offences related to drug use and/or drug possession,2016,Ketamine and phencyclidine-type substances,554,476,78,,,,
Asia,East and South-East Asia,China,Offences related to drug trafficking,2016,All illicit drugs,122672,101214,21458,,120841,1831,
Asia,East and South-East Asia,China,Offences related to drug trafficking,2016,Cannabis-type,1370,1148,222,,,,
Asia,East and South-East Asia,China,Offences related to drug trafficking,2016,Opioids,37086,29668,7418,,,,
Asia,East and South-East Asia,China,Offences related to drug trafficking,2016,Cocaine-type,80,72,8,,,,
Asia,East and South-East Asia,China,Offences related to drug trafficking,2016,ATS,74593,62006,12587,,,,
Asia,East and South-East Asia,China,Offences related to drug trafficking,2016,Ketamine and phencyclidine-type substances,5845,5260,585,,,,
Asia,East and South-East Asia,China,Offences related to drug use and/or drug possession,2019,All illicit drugs,21742,18832,2910,,21483,263,
Asia,East and South-East Asia,China,Offences related to drug use and/or drug possession,2019,Cannabis-type,21,20,1,,,,
Asia,East and South-East Asia,China,Offences related to drug use and/or drug possession,2019,Opioids,377,329,48,,,,
Asia,East and South-East Asia,China,Offences related to drug use and/or drug possession,2019,Cocaine-type,1,1,0,,,,
Asia,East and South-East Asia,China,Offences related to drug use and/or drug possession,2019,ATS,2866,2455,411,,,,
Asia,East and South-East Asia,China,Offences related to drug use and/or drug possession,2019,Ketamine and phencyclidine-type substances,495,435,60,,,,
Asia,East and South-East Asia,China,Offences related to drug use and/or drug possession,2019,Pharmaceutical opioids,10,9,1,,,,
