Region,SubRegion,Country/Territory,Type of offence,Year,Drugs,Total,Males,Females,Unknown/Other/ Third/Intersex,Adults,Juveniles,Specify year
Africa,West and Central Africa,Côte d'Ivoire,Offences related to drug use and/or drug possession,2016,All illicit drugs,1330,,,,,,
Africa,West and Central Africa,Côte d'Ivoire,Offences related to drug use and/or drug possession,2019,All illicit drugs,2297,,,,2242,55,
Africa,North Africa,Egypt,Offences related to drug trafficking,2016,All illicit drugs,65758,,,,64890,868,
Africa,North Africa,Egypt,Offences related to drug trafficking,2016,Opioids,452,,,,,,
Africa,North Africa,Egypt,Offences related to drug trafficking,2016,Cocaine-type,29,,,,,,
Africa,North Africa,Egypt,Offences related to drug trafficking,2019,All illicit drugs,62526,,,,61779,747,
Africa,North Africa,Egypt,Offences related to drug trafficking,2019,Opioids,377,,,,,,
Africa,North Africa,Egypt,Offences related to drug trafficking,2019,Cocaine-type,27,,,,,,
Africa,North Africa,Egypt,Offences related to drug trafficking,2019,Hashish (resin),23283,,,,,,
Africa,North Africa,Egypt,Offences related to drug trafficking,2019,Marijuana (herb),5727,,,,,,
Africa,North Africa,Egypt,Offences related to drug trafficking,2019,Other substances not under int. control,3379,,,,,,
Africa,North Africa,Egypt,Offences related to drug trafficking,2017,All illicit drugs,60856,,,,60138,718,
Africa,North Africa,Egypt,Offences related to drug trafficking,2017,Opioids,12097,,,,,,
Africa,North Africa,Egypt,Offences related to drug trafficking,2017,Cocaine-type,42,,,,,,
Africa,North Africa,Egypt,Offences related to drug trafficking,2017,Hashish (resin),16682,,,,,,
Africa,North Africa,Egypt,Offences related to drug trafficking,2017,Marijuana (herb),7462,,,,,,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2017,All illicit drugs,18,17,1,,18,0,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2017,Cannabis-type,7,7,0,,,,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2017,Cocaine-type,2,2,,,,,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2017,ATS,1,0,1,,,,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2017,Other miscellaneous,,,,,,,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2018,All illicit drugs,26,20,6,,,,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2018,Cannabis-type,7,6,1,,,,
